topic	req_id	source	source_ref	mctash_default	mctash_posix	tests	feature	notes
builtin:bind	BCOMPAT.52.002	bash-compat-doc	bash/COMPAT level 52 item 2	covered	covered	bash-compat-doc-52-002.sh	the -p and -P options to the bind builtin treat remaining arguments as bindable command names for which to print any key bindings	Strict comparator case verifies bind -p/-P accept function-name operands and return reusable binding listings for self-insert.
builtin:break	BCOMPAT.43.002	bash-compat-doc	bash/COMPAT level 43 item 2	covered	covered	bash-compat-doc-43-002.sh	when executing a shell function, the loop state (while/until/etc.) is not reset, so `break' or `continue' in that function will break or continue loops in the calling context. Bash-4.4 and later reset the loop state to prevent this	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
builtin:break	BCOMPAT.44.002	bash-compat-doc	bash/COMPAT level 44 item 2	covered	covered	bash-compat-doc-44-002.sh	a subshell inherits loops from its parent context, so `break' or `continue' will cause the subshell to exit. Bash-5.0 and later reset the loop state to prevent the exit	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
builtin:command	BCOMPAT.31.001	bash-compat-doc	bash/COMPAT level 31 item 1	partial	partial	bash-compat-doc-31-001.sh	the < and > operators to the [[ command do not consider the current locale when comparing strings; they use ASCII ordering	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat31 item 1; compatibility deltas are cumulative.
builtin:command	BCOMPAT.31.002	bash-compat-doc	bash/COMPAT level 31 item 2	partial	partial	bash-compat-doc-31-002.sh	quoting the rhs of the [[ command's regexp matching operator (=~) has no special effect	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat31 item 2; compatibility deltas are cumulative.
builtin:command	BCOMPAT.32.001	bash-compat-doc	bash/COMPAT level 32 item 1	partial	partial	bash-compat-doc-32-001.sh	the < and > operators to the [[ command do not consider the current locale when comparing strings; they use ASCII ordering	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat32 item 1; compatibility deltas are cumulative.
builtin:command	BCOMPAT.40.001	bash-compat-doc	bash/COMPAT level 40 item 1	partial	partial	bash-compat-doc-40-001.sh	the < and > operators to the [[ command do not consider the current locale when comparing strings; they use ASCII ordering. Bash versions prior to bash-4.1 use ASCII collation and strcmp(3); bash-4.1 and later use the current locale's collation sequence and strcoll(3).	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat40 item 1; compatibility deltas are cumulative.
builtin:command	BCOMPAT.43.001	bash-compat-doc	bash/COMPAT level 43 item 1	covered	covered	bash-compat-doc-43-001.sh	word expansion errors are considered non-fatal errors that cause the current command to fail, even in posix mode (the default behavior is to make them fatal errors that cause the shell to exit)	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
builtin:command	BCOMPAT.50.002	bash-compat-doc	bash/COMPAT level 50 item 2	covered	covered	bash-compat-doc-50-002.sh	If the command hash table is empty, bash versions prior to bash-5.1 printed an informational message to that effect even when writing output in a format that can be reused as input (-l). Bash-5.1 suppresses that message if -l is supplied	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
builtin:command	BCOMPAT.51.003	bash-compat-doc	bash/COMPAT level 51 item 3	covered	covered	bash-compat-doc-51-003.sh	expressions used as arguments to arithmetic operators in the [[ conditional command can be expanded more than once	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
builtin:command	BCOMPAT.51.004	bash-compat-doc	bash/COMPAT level 51 item 4	covered	covered	bash-compat-doc-51-004.sh	indexed and associative array subscripts used as arguments to the operators in the [[ conditional command (e.g., `[[ -v') can be expanded more than once. Bash-5.2 behaves as if the `assoc_expand_once' option were enabled.	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
builtin:command	BCOMPAT.51.010	bash-compat-doc	bash/COMPAT level 51 item 10	covered	covered	bash-compat-doc-51-010.sh	Parsing command substitutions will act as if extended glob is enabled, so that parsing a command substitution containing an extglob pattern (say, as part of a shell function) will not fail. This assumes the intent is to enable extglob before the command is executed and word expansions are performed. It will fail at word expansion time if extglob hasn't been enabled by the time the command is executed.	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
builtin:continue	BCOMPAT.44.003	bash-compat-doc	bash/COMPAT level 44 item 3	covered	covered	bash-compat-doc-44-003.sh	variable assignments preceding builtins like export and readonly that set attributes continue to affect variables with the same name in the calling environment even if the shell is not in posix mode	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
builtin:jobs	BCOMPAT.52.003	bash-compat-doc	bash/COMPAT level 52 item 3	covered	covered	bash-compat-doc-52-003.sh	interactive shells will notify the user of completed jobs while sourcing a script. Newer versions defer notification until script execution completes.	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
builtin:return	BCOMPAT.51.008	bash-compat-doc	bash/COMPAT level 51 item 8	covered	covered	bash-compat-doc-51-008.sh	`test -v', when given an argument of A[@], where A is an existing associative array, will return true if the array has any set elements. Bash-5.2 will look for a key named `@';	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
builtin:return	BCOMPAT.51.009	bash-compat-doc	bash/COMPAT level 51 item 9	covered	covered	bash-compat-doc-51-009.sh	the ${param[:]=value} word expansion will return VALUE, before any variable-specific transformations have been performed (e.g., converting to lowercase). Bash-5.2 will return the final value assigned to the variable, as POSIX specifies;	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
builtin:set	BCOMPAT.50.001	bash-compat-doc	bash/COMPAT level 50 item 1	covered	covered	bash-compat-doc-50-001.sh	Bash-5.1 changed the way $RANDOM is generated to introduce slightly more randomness. If the shell compatibility level is set to 50 or lower, it reverts to the method from bash-5.0 and previous versions, so seeding the random number generator by assigning a value to RANDOM will produce the same sequence as in bash-5.0	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
builtin:set	BCOMPAT.50.003	bash-compat-doc	bash/COMPAT level 50 item 3	covered	covered	bash-compat-doc-50-003.sh	Bash-5.1 and later use pipes for here-documents and here-strings if they are smaller than the pipe capacity. If the shell compatibility level is set to 50 or lower, it reverts to using temporary files.	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
builtin:test	BCOMPAT.52.001	bash-compat-doc	bash/COMPAT level 52 item 1	covered	covered	bash-compat-doc-52-001.sh	the test builtin uses its historical algorithm for parsing expressions composed of five or more primaries.	Strict comparator case runs green in bash and mctash lanes with BASH_COMPAT=50 and mirrored --posix mode.
