topic	req_id	source	source_ref	subcategory	feature	mctash_default	mctash_posix	tests	notes
builtin:.	C5.BUILTIN.DOT	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	.	covered	covered	man-bash-posix-05-dot-source	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin::	C5.BUILTIN.COLON	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	:	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:[	C5.BUILTIN.LBRACK	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	[	covered	covered	man-bash-posix-03-io-signals.sh	Mapped to test/[ parity case via man-bash-posix-03-io-signals.sh.
builtin:alias	BPOSIX.CORE.003	bash-posix-doc	bash/POSIX 6.11.2 item 3	parse-grammar	Alias expansion is always enabled, even in non-interactive shells.	covered	covered	bash-posix-doc-003.sh	Row-level comparator evidence passes in tests/diff/cases/bash-posix-doc-001-010.sh; Source: bash/POSIX 6.11.2 item 3.
builtin:alias	BPOSIX.CORE.004	bash-posix-doc	bash/POSIX 6.11.2 item 4	parse-grammar	Reserved words appearing in a context where reserved words are recognized do not undergo alias expansion.	covered	covered	bash-posix-doc-004.sh	Row-level comparator evidence passes in tests/diff/cases/bash-posix-doc-001-010.sh; Source: bash/POSIX 6.11.2 item 4.
builtin:alias	BPOSIX.CORE.005	bash-posix-doc	bash/POSIX 6.11.2 item 5	parse-grammar	Alias expansion is performed when initially parsing a command substitution. The default (non-posix) mode generally defers it, when enabled, until the command substitution is executed. This means that command substitution will not expand aliases that are defined after the command substitution is initially parsed (e.g., as part of a function definition).	covered	covered	bash-posix-doc-005.sh	Row-level comparator evidence passes in tests/diff/cases/bash-posix-doc-001-010.sh; Source: bash/POSIX 6.11.2 item 5.
builtin:alias	BPOSIX.CORE.047	bash-posix-doc	bash/POSIX 6.11.2 item 47	parse-grammar	When the ‘alias’ builtin displays alias definitions, it does not display them with a leading ‘alias ’ unless the ‘-p’ option is supplied.	covered	covered	bash-posix-doc-047.sh	Strict comparator case validates alias display format difference between `alias` and `alias -p`.
builtin:alias	C5.BUILTIN.ALIAS	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	alias	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:bg	BPOSIX.CORE.048	bash-posix-doc	bash/POSIX 6.11.2 item 48	jobs-signals	The ‘bg’ builtin uses the required format to describe each job placed in the background, which does not include an indication of whether the job is the current or previous job.	covered	covered	bash-posix-doc-048.sh	Strict comparator case validates POSIX mode option/reporting behavior for case row 48.
builtin:bg	C5.BUILTIN.BG	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	bg	covered	covered	man-bash-posix-10-jobs-fg-bg-interactive	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:bg	C8.JOB.04	bash-man	bash(1) section SIGNALS + JOB CONTROL + builtins	jobs-signals	bg builtin jobspec resume in background	covered	covered	man-bash-posix-10-jobs-fg-bg-interactive.sh,man-ash-jobs.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:bind	BCOMPAT.52.002	bash-compat-doc	bash/COMPAT level 52 item 2	compat-delta	the -p and -P options to the bind builtin treat remaining arguments as bindable command names for which to print any key bindings	partial	partial	bash-compat-doc-52-002.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat52 (set using BASH_COMPAT) item 2; compatibility deltas are cumulative.
builtin:bind	C5.BUILTIN.BIND	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	bind	covered	covered	bash-builtin-completion	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:bind	C7.INT.04	bash-man	bash(1) section PROMPTING + READLINE + HISTORY	interactive	bind builtin keymap/query/assignment	covered	covered	run_completion_interactive_matrix.sh,bash-builtin-completion.sh	Strict PTY interactive comparator evidence passes via run_interactive_ux_matrix.sh and run_completion_interactive_matrix.sh.
builtin:break	BCOMPAT.43.002	bash-compat-doc	bash/COMPAT level 43 item 2	compat-delta	when executing a shell function, the loop state (while/until/etc.) is not reset, so `break' or `continue' in that function will break or continue loops in the calling context. Bash-4.4 and later reset the loop state to prevent this	partial	partial	bash-compat-doc-43-002.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat43 item 2; compatibility deltas are cumulative.
