req_id	source_section	compat_level	item_index	subcategory	owner	phase	feature	mctash_default	mctash_posix	tests	notes
BCOMPAT.31.001	COMPAT	31	1	compat-delta	runtime	exec	the < and > operators to the [[ command do not consider the current locale when comparing strings; they use ASCII ordering	partial	partial	bash-compat-doc-31-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat31 item 1; compatibility deltas are cumulative.
BCOMPAT.31.002	COMPAT	31	2	compat-delta	runtime	exec	quoting the rhs of the [[ command's regexp matching operator (=~) has no special effect	partial	partial	bash-compat-doc-31-002.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat31 item 2; compatibility deltas are cumulative.
BCOMPAT.32.001	COMPAT	32	1	compat-delta	runtime	exec	the < and > operators to the [[ command do not consider the current locale when comparing strings; they use ASCII ordering	partial	partial	bash-compat-doc-32-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat32 item 1; compatibility deltas are cumulative.
BCOMPAT.40.001	COMPAT	40	1	compat-delta	runtime	exec	the < and > operators to the [[ command do not consider the current locale when comparing strings; they use ASCII ordering. Bash versions prior to bash-4.1 use ASCII collation and strcmp(3); bash-4.1 and later use the current locale's collation sequence and strcoll(3).	partial	partial	bash-compat-doc-40-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat40 item 1; compatibility deltas are cumulative.
BCOMPAT.41.001	COMPAT	41	1	compat-delta	parser	parse	in posix mode, `time' may be followed by options and still be recognized as a reserved word (this is POSIX interpretation 267)	partial	partial	bash-compat-doc-41-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat41 item 1; compatibility deltas are cumulative.
BCOMPAT.41.002	COMPAT	41	2	compat-delta	parser	parse	in posix mode, the parser requires that an even number of single quotes occur in the `word' portion of a double-quoted ${...} parameter expansion and treats them specially, so that characters within the single quotes are considered quoted (this is POSIX interpretation 221)	partial	partial	bash-compat-doc-41-002.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat41 item 2; compatibility deltas are cumulative.
BCOMPAT.42.001	COMPAT	42	1	compat-delta	runtime	exec	the replacement string in double-quoted pattern substitution is not run through quote removal, as it is in versions after bash-4.2	partial	partial	bash-compat-doc-42-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat42 item 1; compatibility deltas are cumulative.
BCOMPAT.42.002	COMPAT	42	2	compat-delta	expand	expand	in posix mode, single quotes are considered special when expanding the `word' portion of a double-quoted ${...} parameter expansion and can be used to quote a closing brace or other special character (this is part of POSIX interpretation 221); in later versions, single quotes are not special within double-quoted word expansions	partial	partial	bash-compat-doc-42-002.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat42 item 2; compatibility deltas are cumulative.
BCOMPAT.43.001	COMPAT	43	1	compat-delta	expand	expand	word expansion errors are considered non-fatal errors that cause the current command to fail, even in posix mode (the default behavior is to make them fatal errors that cause the shell to exit)	partial	partial	bash-compat-doc-43-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat43 item 1; compatibility deltas are cumulative.
BCOMPAT.43.002	COMPAT	43	2	compat-delta	runtime	exec	when executing a shell function, the loop state (while/until/etc.) is not reset, so `break' or `continue' in that function will break or continue loops in the calling context. Bash-4.4 and later reset the loop state to prevent this	partial	partial	bash-compat-doc-43-002.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat43 item 2; compatibility deltas are cumulative.
